Id,Label
0,YFIUP
1,WBTC
2,ADAUP
3,SXPUP
4,AUD
5,TUSD
6,UNFI
7,YFII
8,EOSDOWN
9,LINKUP
10,ATOM
11,ROSE
12,WAN
13,GRT
14,BUSD
15,DGB
16,RUNE
17,MATIC
18,THETA
19,XLMDOWN
20,BTG
21,LTC
22,DOGE
23,USD
24,EVX
25,JST
26,DASH
27,SUSHIDOWN
28,ETC
29,CTXC
30,OCEAN
31,FTM
32,BAL
33,DOTUP
34,MKR
35,SXP
36,RSR
37,TRX
38,NEO
39,HBAR
40,BTC
41,DCR
42,BCH
43,BQX
44,NANO
45,IOTA
46,OMG
47,REN
48,AVAX
49,SKL
50,ZRX
51,SNX
52,1INCH
53,DIA
54,STX
55,XLM
56,GBP
57,KEY
58,XLMUP
59,USDC
60,BRL
61,KSM
62,COMP
63,TRB
64,LTO
65,LTCUP
66,SOL
67,FET
68,BTCUP
69,ETHDOWN
70,STORJ
71,XTZ
72,FIL
73,SRM
74,CHZ
75,ICX
76,UNI
77,HOT
78,OGN
79,XRPDOWN
80,LSK
81,LRC
82,BCD
83,XVG
84,HARD
85,YFIDOWN
86,ENJ
87,WAVES
88,TRY
89,LUNA
90,ANKR
91,ETH
92,SUSHI
93,CTK
94,ETHUP
95,XTZUP
96,RLC
97,DAI
98,XRP
99,XRPUP
100,MANA
101,DENT
102,ONE
103,KP3R
104,COTI
105,ZIL
106,KAVA
107,LINK
108,KNC
109,ARPA
110,DOT
111,BNB
112,FLM
113,REEF
114,ADX
115,NPXS
116,ALGO
117,SC
118,NGN
119,XVS
120,PAX
121,ONT
122,AST
123,GVT
124,XMR
125,BAT
126,RVN
127,YFI
128,BTCDOWN
129,TFUEL
130,CVC
131,ANT
132,BCPT
133,ZEC
134,XEM
135,NEAR
136,RDN
137,BAND
138,CRV
139,EGLD
140,BTT
141,EOSUP
142,OXT
143,USDT
144,SUSHIUP
145,AXS
146,VET
147,AAVE
148,EUR
149,ADA
150,BLZ
151,ALPHA
152,BEL
153,SXPDOWN
154,EOS
155,HNT
156,TOMO
157,APPC
158,TRXUP
159,IOST
160,QTUM
161,ZEN
162,DNT
163,BZRX
