Id,Source,Target
0,XLM,BUSD
1,ETHUP,USDT
2,COVER,ETH
3,ADX,BTC
4,BNB,BRL
5,DOT,BUSD
6,HOT,ETH
7,BAT,USDC
8,FRONT,BUSD
9,BCD,BTC
10,YFI,EUR
11,BTS,USDT
12,HEGIC,BUSD
13,RCN,BTC
14,BAND,BNB
15,XRP,AUD
16,ETC,BNB
17,FIL,USD
18,MTL,USDT
19,COTI,BNB
20,DREP,BTC
21,LTC,BUSD
22,YFI,USDT
23,BZRX,USDT
24,BNT,USDT
25,AUDIO,USDT
26,OXT,BTC
27,LINK,USD
28,ALPHA,BNB
29,DF,ETH
30,AAVE,ETH
31,CTXC,USDT
32,DGB,BNB
33,DNT,USDT
34,ZIL,BTC
35,WAN,BNB
36,BNB,RUB
37,QKC,ETH
38,LTC,USD
39,FIO,BTC
40,ONT,BUSD
41,NEO,BUSD
42,CTSI,USDT
43,SRM,BTC
44,ALGO,BTC
45,CELO,USDT
46,QLC,BTC
47,ZRX,BTC
48,DATA,ETH
49,WING,BUSD
50,IOTX,BTC
51,ENJ,USDT
52,THETA,USDT
53,UNI,USDT
54,LTC,RUB
55,FTT,USDT
56,XTZUP,USDT
57,WRX,USDT
58,ADX,ETH
59,SAND,BUSD
60,ONG,BTC
61,UNFI,USDT
62,IOST,USDT
63,BAT,USDT
64,REN,BTC
65,HBAR,USDT
66,MFT,USDT
67,SOL,BUSD
68,SNX,BUSD
69,TRXDOWN,USDT
70,MATIC,BNB
71,ZEN,USDT
72,LRC,USDT
73,BTT,BNB
74,STRAX,ETH
75,APPC,BTC
76,WIN,USDC
77,LINK,BTC
78,XRP,USD
79,XLM,BTC
80,CHZ,USDT
81,ZIL,ETH
82,EOS,BNB
83,HOT,USDT
84,OMG,USDT
85,ETH,GBP
86,AVAX,USDT
87,NMR,BNB
88,BTT,TRX
89,LTC,BTC
90,AAVE,BKRW
91,AAVE,USDT
92,FIL,BNB
93,FTM,BTC
94,QLC,ETH
95,BCHDOWN,USDT
96,OCEAN,BUSD
97,FILUP,USDT
98,ZRX,ETH
99,PROM,BNB
100,XLM,BNB
101,DOT,BNB
102,KSM,BTC
103,IRIS,USDT
104,IOTX,ETH
105,TRX,TUSD
106,BTC,USDC
107,BCH,EUR
108,BNB,IDRT
109,PNT,USDT
110,LTC,BNB
111,LTO,BTC
112,BAND,USDT
113,COTI,USDT
114,UTK,BTC
115,SKY,BTC
116,OGN,BTC
117,SC,BTC
118,USDT,BIDR
119,ZEC,BTC
120,FTM,BNB
121,VITE,BTC
122,DASH,BUSD
123,ALPHA,USDT
124,DATA,USDT
125,USDT,BVND
126,WING,BTC
127,STMX,ETH
128,DGB,USDT
129,WAN,USDT
130,AXS,USDT
131,LINK,ETH
132,XLM,ETH
133,BNB,NGN
134,NEO,BNB
135,ONT,BNB
136,WIN,USDT
137,EGLD,USD
138,XRP,BTC
139,ETH,BIDR
140,OGN,BNB
141,ADA,USD
142,LTC,ETH
143,OXT,USDT
144,LINK,USDC
145,JUV,USDT
146,WING,BNB
147,USDT,UAH
148,SNM,BTC
149,ZIL,USDT
150,SAND,BNB
151,LTC,USDC
152,BTC,EUR
153,EOSDOWN,USDT
154,XTZDOWN,USDT
155,BTC,BKRW
156,SRM,USDT
157,LTC,NGN
158,STEEM,BNB
159,BZRX,BTC
160,AUDIO,BTC
161,ALGO,USDT
162,YFII,BUSD
163,MITH,BTC
164,SUSHI,BTC
165,QTUM,BTC
166,SNX,BNB
167,SC,ETH
168,ATM,USDT
169,KAVA,BTC
170,DNT,BTC
171,ZRX,USDT
172,ZEC,ETH
173,MATIC,USDT
174,NEO,USDC
175,BTT,USDT
176,IOTX,USDT
177,POLY,BTC
178,CVC,BTC
179,EOS,USDT
180,VIDT,BUSD
181,NANO,BUSD
182,DIA,BUSD
183,PSG,BUSD
184,ZEC,USDC
185,AKRO,BTC
186,ONG,USDT
187,TRX,BUSD
188,WBTC,BTC
189,XRP,ETH
190,NMR,USDT
191,SUSHI,BNB
192,KAVA,BNB
193,EGLD,BTC
194,REN,USDT
195,OCEAN,BNB
196,SKL,BTC
197,TOMO,BUSD
198,TRX,PAX
199,GRT,EUR
200,LINK,EUR
201,FIL,USDT
202,LINK,BKRW
203,ETH,TUSD
204,ADA,BTC
205,ETC,USD
206,NEAR,BUSD
207,SXP,BIDR
208,LINK,USDT
209,XLM,USDT
210,XRP,USDC
211,BNB,AUD
212,ONE,BIDR
213,UNFI,BTC
214,BEAM,USDT
215,NKN,USDT
216,QSP,BTC
217,LTC,USDT
218,XVG,BTC
219,DASH,BNB
220,RIF,BTC
221,EUR,BUSD
222,FTM,USDT
223,TFUEL,BTC
224,QTUM,ETH
225,VIB,BTC
226,SXP,EUR
227,PIVX,BTC
228,BAL,BUSD
229,ATOM,BUSD
230,XMR,BTC
231,KSM,USDT
232,DOGE,BTC
233,SPARTA,BNB
234,TROY,BNB
235,NEO,USDT
236,CVC,ETH
237,BCH,PAX
238,WPR,BTC
239,LTO,USDT
240,YFII,BTC
241,BRD,BNB
242,OGN,USDT
243,WBTC,ETH
244,SC,USDT
245,VTHO,BNB
246,ZEC,USDT
247,IOTA,BUSD
248,REEF,BTC
249,VITE,USDT
250,INJ,BTC
251,MANA,BUSD
252,WING,USDT
253,FET,BTC
254,ADA,ETH
255,KMD,USDT
256,WAVES,BUSD
257,XRP,EUR
258,IDEX,BUSD
259,XRP,BKRW
260,VIDT,BTC
261,ETC,BTC
262,COTI,BTC
263,SAND,USDT
264,GTO,USDT
265,YFII,BNB
266,ALPHA,BTC
267,ETH,TRY
268,QSP,ETH
269,ADA,USDC
270,MFT,ETH
271,EOS,USD
272,TOMO,BTC
273,XVG,ETH
274,BAKE,BNB
275,BNB,USD
276,SUSHIDOWN,USDT
277,FET,BNB
278,SYS,BUSD
279,VIB,ETH
280,XZC,BTC
281,MKR,BUSD
282,AERGO,BTC
283,FLM,BTC
284,OMG,ETH
285,NAS,ETH
286,PERL,BTC
287,DIA,BNB
288,PIVX,ETH
